Vardas                   Pavarde                    ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10       ND11       ND12       ND13       ND14       ND15       
Vardas223                Pavarde223                  6          1          1          7          2          5          9          4          5          7          2          6          9          8          5          
Vardas224                Pavarde224                  1          7          2          3          10         2          3          9          8          3          9          5          6          2          4          
Vardas225                Pavarde225                  1          6          3          2          7          4          9          9          4          3          5          4          8          5          8          
Vardas226                Pavarde226                  2          2          3          10         5          9          6          10         9          6          6          8          6          9          3          
Vardas227                Pavarde227                  9          1          1          4          6          7          7          8          7          6          2          4          3          4          1          
Vardas228                Pavarde228                  1          9          10         7          7          4          9          4          10         3          5          5          7          9          10         
Vardas229                Pavarde229                  8          4          8          4          3          6          5          3          8          2          4          4          8          2          6          
Vardas230                Pavarde230                  9          7          2          9          4          2          5          7          5          6          10         5          4          1          1          
Vardas231                Pavarde231                  6          4          7          8          10         8          3          2          8          9          9          8          4          8          10         
Vardas232                Pavarde232                  1          2          2          5          5          5          7          9          2          9          1          3          3          7          7          
Vardas233                Pavarde233                  9          7          2          6          9          9          5          10         7          9          10         10         10         5          4          
Vardas234                Pavarde234                  5          5          7          9          10         10         2          2          6          9          6          8          10         10         7          
Vardas235                Pavarde235                  10         8          6          6          3          2          5          9          6          2          1          9          6          9          4          
Vardas236                Pavarde236                  6          7          8          1          7          6          1          6          3          2          5          6          6          1          9          
Vardas237                Pavarde237                  5          3          3          7          9          2          9          7          1          2          10         6          8          7          8          
Vardas238                Pavarde238                  9          5          1          5          4          1          10         5          6          6          10         10         7          4          3          
Vardas239                Pavarde239                  6          1          7          4          10         6          5          7          4          8          4          8          3          6          9          
Vardas240                Pavarde240                  9          3          8          7          3          6          6          2          10         2          4          3          5          4          10         
Vardas241                Pavarde241                  8          6          7          2          6          5          1          5          1          10         9          6          10         3          7          
Vardas242                Pavarde242                  5          3          1          2          9          10         2          3          10         1          7          8          7          1          10         
Vardas243                Pavarde243                  3          9          3          1          10         3          2          7          3          10         3          4          10         3          1          
Vardas244                Pavarde244                  9          5          8          1          3          3          10         4          2          9          7          6          4          10         9          
Vardas245                Pavarde245                  9          10         2          10         3          5          8          9          4          6          10         1          1          6          1          
Vardas246                Pavarde246                  7          6          10         7          9          6          1          6          5          4          8          9          1          8          10         
Vardas247                Pavarde247                  9          1          7          2          9          6          6          4          3          2          8          5          1          2          8          
Vardas248                Pavarde248                  9          5          6          6          8          3          10         3          9          1          7          3          1          9          9          
Vardas249                Pavarde249                  6          10         6          1          10         6          7          1          3          7          8          7          1          10         4          
Vardas250                Pavarde250                  8          1          2          7          7          4          4          9          2          5          10         1          6          5          9          
Vardas251                Pavarde251                  9          8          10         7          6          4          6          1          6          4          6          2          6          6          2          
Vardas252                Pavarde252                  7          3          6          10         3          1          10         1          7          9          5          8          9          2          9          
Vardas253                Pavarde253                  5          10         10         10         8          1          6          1          8          8          5          3          1          5          9          
Vardas254                Pavarde254                  8          10         8          1          8          3          7          6          5          6          3          10         8          2          1          
Vardas255                Pavarde255                  4          4          2          7          1          10         10         10         6          3          8          1          7          3          6          
Vardas256                Pavarde256                  10         1          4          5          5          2          7          4          1          6          7          9          5          9          4          
Vardas257                Pavarde257                  7          8          4          7          5          9          7          1          8          10         9          10         9          3          9          
Vardas258                Pavarde258                  3          7          6          7          1          10         2          2          10         3          8          9          5          10         10         
Vardas259                Pavarde259                  3          9          9          4          7          5          8          6          10         8          7          9          7          5          2          
Vardas260                Pavarde260                  10         7          10         6          6          4          6          3          5          6          10         4          10         7          5          
Vardas261                Pavarde261                  3          4          4          5          2          7          10         5          1          4          6          8          5          10         6          
Vardas262                Pavarde262                  5          8          2          3          5          3          1          6          8          3          1          6          1          4          9          
Vardas263                Pavarde263                  4          3          10         9          10         7          5          6          7          3          8          1          9          1          10         
Vardas264                Pavarde264                  3          7          3          8          2          9          2          5          8          7          10         3          5          5          2          
Vardas265                Pavarde265                  7          1          6          3          3          7          10         6          10         5          10         1          4          1          2          
Vardas266                Pavarde266                  10         2          9          7          3          9          5          7          7          10         1          7          9          1          5          
Vardas267                Pavarde267                  7          5          5          7          6          2          10         8          7          1          6          10         7          4          9          
Vardas268                Pavarde268                  10         2          3          9          3          3          4          4          7          6          7          2          2          1          8          
Vardas269                Pavarde269                  1          8          10         6          10         6          9          8          1          6          2          9          2          2          6          
Vardas270                Pavarde270                  10         9          7          1          9          6          1          5          1          1          3          4          1          3          10         
Vardas271                Pavarde271                  8          8          2          7          1          6          1          1          4          5          10         5          4          4          10         
Vardas272                Pavarde272                  2          1          8          5          8          5          6          7          8          2          7          2          3          7          10         
Vardas273                Pavarde273                  2          1          9          6          5          4          5          9          7          5          10         10         4          10         10         
Vardas274                Pavarde274                  1          6          9          8          6          2          6          3          4          1          5          5          3          4          10         
Vardas275                Pavarde275                  5          1          10         1          3          8          6          6          10         6          8          7          8          1          6          
Vardas276                Pavarde276                  6          10         3          1          1          10         9          5          8          2          6          2          5          3          8          
Vardas277                Pavarde277                  9          7          7          6          8          3          9          10         2          5          1          4          4          4          10         
Vardas278                Pavarde278                  4          8          7          6          8          3          8          2          2          6          5          5          3          5          7          
Vardas279                Pavarde279                  8          5          1          1          3          9          4          2          5          7          10         6          8          7          6          
Vardas280                Pavarde280                  2          4          2          4          1          1          5          8          9          3          2          8          5          7          5          
Vardas281                Pavarde281                  10         1          8          9          9          6          6          2          5          10         1          4          10         2          5          
Vardas282                Pavarde282                  7          8          4          10         9          10         8          2          5          9          4          8          10         4          6          
Vardas283                Pavarde283                  10         8          1          6          4          9          3          8          7          8          5          4          1          10         1          
Vardas284                Pavarde284                  7          8          8          5          4          1          1          6          8          1          7          8          9          10         1          
Vardas285                Pavarde285                  5          9          3          3          2          5          4          6          2          3          8          2          10         8          9          
Vardas286                Pavarde286                  1          7          7          4          5          8          10         8          9          7          3          4          1          1          4          
Vardas287                Pavarde287                  5          6          9          8          9          6          4          1          7          2          3          6          8          9          3          
Vardas288                Pavarde288                  8          10         5          2          9          1          8          7          5          7          2          5          10         1          2          
Vardas289                Pavarde289                  6          9          10         3          5          9          10         2          5          1          1          8          5          5          4          
Vardas290                Pavarde290                  2          7          7          6          2          10         8          7          7          10         5          9          7          1          3          
Vardas291                Pavarde291                  9          2          6          2          7          9          3          10         9          6          9          5          8          6          10         
Vardas292                Pavarde292                  5          1          8          6          10         3          1          3          1          2          10         2          1          10         6          
Vardas293                Pavarde293                  10         9          7          2          8          9          6          5          7          3          7          9          6          2          7          
Vardas294                Pavarde294                  5          8          5          8          9          1          5          6          5          10         5          6          9          4          5          
Vardas295                Pavarde295                  8          6          1          7          6          5          1          9          1          8          9          5          9          7          3          
Vardas296                Pavarde296                  3          6          2          7          8          1          10         5          8          5          8          4          6          7          9          
Vardas297                Pavarde297                  8          10         5          7          9          2          9          10         10         2          4          5          8          6          3          
Vardas298                Pavarde298                  7          9          6          4          5          1          7          3          5          10         6          3          9          9          8          
Vardas299                Pavarde299                  10         7          10         3          2          8          9          3          8          1          5          9          7          2          5          
Vardas300                Pavarde300                  9          10         6          6          1          3          8          2          4          3          8          4          1          5          9          
Vardas301                Pavarde301                  8          8          8          3          7          1          10         10         1          7          7          5          10         4          1          
Vardas302                Pavarde302                  9          2          10         5          1          8          7          3          2          8          6          3          1          4          6          
Vardas303                Pavarde303                  2          3          9          5          2          10         1          3          4          2          2          5          10         7          5          
Vardas304                Pavarde304                  8          9          1          7          10         2          2          5          2          10         4          2          9          1          10         
Vardas305                Pavarde305                  7          7          9          2          10         4          8          6          3          10         5          4          5          1          4          
Vardas306                Pavarde306                  8          9          4          9          7          6          6          3          4          8          3          9          7          7          9          
Vardas307                Pavarde307                  4          3          5          10         8          6          9          4          8          8          9          9          10         3          10         
Vardas308                Pavarde308                  3          2          3          3          3          9          4          6          3          2          6          2          5          3          6          
Vardas309                Pavarde309                  4          6          2          8          5          9          10         2          10         7          8          2          8          9          10         
Vardas310                Pavarde310                  3          3          4          6          6          5          3          2          9          5          2          3          8          2          4          
Vardas311                Pavarde311                  7          8          1          8          3          4          8          2          8          2          10         10         7          1          9          
Vardas312                Pavarde312                  5          6          9          6          2          4          2          9          4          7          1          10         6          5          6          
Vardas313                Pavarde313                  2          1          3          1          2          4          10         9          2          8          2          5          9          3          3          
Vardas314                Pavarde314                  9          1          9          2          8          9          7          6          3          9          10         2          7          7          4          
Vardas315                Pavarde315                  3          7          4          9          9          7          1          3          2          3          9          7          1          9          8          
Vardas316                Pavarde316                  4          7          9          10         2          8          4          10         2          10         9          3          9          2          1          
Vardas317                Pavarde317                  6          4          5          9          3          10         6          2          3          3          10         10         9          7          3          
Vardas318                Pavarde318                  3          3          6          9          8          3          3          3          6          4          10         4          4          9          9          
Vardas319                Pavarde319                  3          4          6          3          3          1          2          10         5          10         6          5          10         2          5          
Vardas320                Pavarde320                  1          5          6          2          7          1          6          4          7          1          2          1          1          3          7          
Vardas321                Pavarde321                  10         1          1          3          7          8          9          4          9          8          8          2          7          3          2          
Vardas322                Pavarde322                  1          8          2          3          7          7          8          4          3          7          1          8          4          6          8          
Vardas323                Pavarde323                  8          10         1          4          7          9          9          5          9          3          1          6          1          8          10         
Vardas324                Pavarde324                  10         7          1          5          3          3          2          8          4          4          9          5          6          2          10         
Vardas325                Pavarde325                  4          10         10         2          3          3          9          2          3          4          1          6          7          6          3          
Vardas326                Pavarde326                  2          5          5          10         8          8          4          1          4          9          7          3          3          7          2          
Vardas327                Pavarde327                  8          3          6          3          6          7          8          5          3          7          2          9          2          5          7          
Vardas328                Pavarde328                  3          5          9          7          3          9          2          4          6          6          4          8          2          7          4          
Vardas329                Pavarde329                  7          6          3          10         5          2          8          6          10         3          10         4          5          2          5          
Vardas330                Pavarde330                  5          5          8          9          10         7          6          6          4          2          6          8          10         10         10         
Vardas331                Pavarde331                  9          2          5          5          9          9          5          2          3          6          3          8          6          6          2          
Vardas332                Pavarde332                  7          9          6          10         7          6          4          5          8          4          2          2          10         8          1          
Vardas333                Pavarde333                  6          8          1          7          3          7          8          4          6          5          6          9          8          1          3          
Vardas334                Pavarde334                  5          8          1          7          6          5          8          3          6          10         5          6          7          2          9          
Vardas335                Pavarde335                  9          8          2          3          9          8          1          9          4          9          3          4          1          10         6          
Vardas336                Pavarde336                  2          5          8          9          3          4          6          2          7          1          1          9          2          7          6          
Vardas337                Pavarde337                  5          10         6          8          1          6          1          8          4          9          3          4          7          9          10         
Vardas338                Pavarde338                  5          5          7          5          1          1          7          7          7          8          9          8          4          3          6          
Vardas339                Pavarde339                  10         10         1          3          10         8          9          10         8          10         9          3          10         1          8          
Vardas340                Pavarde340                  6          2          9          8          9          7          3          6          5          1          4          4          10         4          5          
Vardas341                Pavarde341                  10         6          3          7          9          3          1          2          8          6          6          1          10         3          4          
Vardas342                Pavarde342                  5          9          3          2          10         1          5          3          5          9          3          6          7          5          5          
Vardas343                Pavarde343                  4          5          10         8          3          10         9          1          6          8          4          7          3          2          3          
Vardas344                Pavarde344                  6          10         9          1          8          2          7          2          8          10         3          6          1          10         6          
Vardas345                Pavarde345                  2          5          10         3          8          8          7          9          7          10         3          7          6          4          9          
Vardas346                Pavarde346                  7          7          6          6          5          4          8          7          8          5          1          4          6          7          9          
Vardas347                Pavarde347                  10         6          4          9          3          2          10         7          9          10         1          9          10         6          1          
Vardas348                Pavarde348                  1          10         1          6          7          1          7          2          8          5          5          9          6          5          1          
Vardas349                Pavarde349                  2          2          1          8          3          5          10         6          7          7          3          9          3          10         6          
Vardas350                Pavarde350                  4          4          8          8          10         10         4          6          5          7          6          5          4          1          1          
Vardas351                Pavarde351                  2          3          7          8          1          3          6          7          9          8          6          6          10         2          3          
Vardas352                Pavarde352                  7          8          1          4          10         10         2          7          6          4          3          3          10         4          7          
Vardas353                Pavarde353                  7          5          5          9          6          8          9          7          8          2          4          2          5          6          2          
Vardas354                Pavarde354                  8          1          2          3          3          4          2          3          9          7          10         2          9          6          9          
Vardas355                Pavarde355                  3          10         2          1          7          3          7          8          10         3          9          10         9          9          3          
Vardas356                Pavarde356                  3          2          5          4          10         9          10         5          6          2          3          4          5          7          4          
Vardas357                Pavarde357                  9          8          9          3          6          5          3          3          3          9          6          4          8          9          2          
Vardas358                Pavarde358                  10         1          8          2          3          6          1          10         4          3          5          5          6          1          8          
Vardas359                Pavarde359                  8          7          3          1          4          8          5          3          2          10         1          9          7          1          4          
Vardas360                Pavarde360                  4          6          8          9          3          5          1          2          9          4          10         5          1          7          8          
Vardas361                Pavarde361                  2          6          6          1          5          9          2          7          8          1          9          2          8          9          8          
Vardas362                Pavarde362                  9          2          7          4          5          10         1          4          5          10         3          2          8          4          4          
Vardas363                Pavarde363                  3          4          1          10         8          8          1          6          3          7          6          9          5          7          6          
Vardas364                Pavarde364                  10         2          7          9          6          2          9          5          8          6          8          3          2          1          8          
Vardas365                Pavarde365                  6          2          9          7          10         4          10         2          8          8          2          7          4          4          8          
Vardas366                Pavarde366                  1          6          7          7          5          2          8          2          10         6          4          2          7          9          5          
Vardas367                Pavarde367                  1          5          10         7          1          10         4          6          1          2          10         2          7          10         7          
Vardas368                Pavarde368                  10         2          10         5          3          7          9          3          6          6          8          10         1          1          8          
Vardas369                Pavarde369                  10         9          9          3          4          4          2          10         1          4          4          2          4          7          1          
Vardas370                Pavarde370                  7          4          2          3          4          6          3          8          2          2          6          6          2          2          7          
Vardas371                Pavarde371                  2          9          3          1          8          5          10         10         7          1          5          3          9          6          2          
Vardas372                Pavarde372                  7          6          5          9          7          1          9          6          3          2          5          7          1          5          10         
Vardas373                Pavarde373                  3          8          6          4          3          10         4          2          8          9          10         6          7          2          8          
Vardas374                Pavarde374                  4          2          5          5          6          9          2          4          1          1          5          9          2          5          3          
Vardas375                Pavarde375                  8          4          2          3          2          4          3          6          4          9          9          6          3          4          9          
Vardas376                Pavarde376                  4          2          8          7          5          8          10         1          3          2          6          9          1          8          2          
Vardas377                Pavarde377                  5          4          2          7          3          2          5          7          5          8          4          5          2          4          6          
Vardas378                Pavarde378                  6          6          1          10         4          3          5          5          8          5          6          9          6          7          8          
Vardas379                Pavarde379                  1          4          3          4          6          10         1          5          4          3          8          3          10         9          2          
Vardas380                Pavarde380                  1          2          7          3          3          5          2          9          3          10         8          2          10         10         1          
Vardas381                Pavarde381                  2          6          9          10         4          10         5          4          1          6          1          4          4          9          3          
Vardas382                Pavarde382                  4          7          1          7          6          9          9          10         4          6          4          10         10         5          4          
Vardas383                Pavarde383                  1          9          9          3          5          5          3          1          10         3          6          3          7          9          6          
Vardas384                Pavarde384                  9          10         3          9          8          5          2          2          4          2          6          8          6          4          1          
Vardas385                Pavarde385                  1          7          3          5          10         7          3          9          4          1          9          8          3          10         8          
Vardas386                Pavarde386                  10         5          2          10         9          8          5          3          4          4          6          10         2          1          2          
Vardas387                Pavarde387                  10         7          4          9          8          5          3          3          4          9          9          10         3          3          4          
Vardas388                Pavarde388                  8          8          9          8          1          10         10         5          4          1          3          5          6          8          2          
Vardas389                Pavarde389                  9          7          10         7          9          6          8          5          2          2          6          1          4          4          9          
Vardas390                Pavarde390                  10         5          4          1          4          8          1          10         7          7          10         5          9          1          6          
Vardas391                Pavarde391                  7          4          1          3          4          5          2          8          4          3          1          6          1          6          3          
Vardas392                Pavarde392                  7          2          9          1          10         1          1          1          1          8          5          8          5          10         2          
Vardas393                Pavarde393                  3          5          6          6          7          5          7          4          4          4          6          4          7          3          3          
Vardas394                Pavarde394                  7          9          10         3          8          1          7          6          7          1          1          6          2          4          8          
Vardas395                Pavarde395                  1          10         4          4          5          4          6          9          9          6          3          4          8          5          3          
Vardas396                Pavarde396                  2          5          3          3          6          8          6          6          2          3          6          5          8          4          1          
Vardas397                Pavarde397                  2          4          10         8          9          7          8          10         7          5          5          6          9          9          4          
Vardas398                Pavarde398                  3          3          7          3          1          6          3          8          7          9          3          9          8          1          2          
Vardas399                Pavarde399                  3          7          7          6          8          6          1          9          2          8          8          10         6          7          6          
Vardas400                Pavarde400                  3          2          10         8          4          4          4          3          5          6          7          9          9          4          7          
Vardas401                Pavarde401                  6          6          2          4          4          6          5          8          8          4          5          2          8          3          9          
Vardas402                Pavarde402                  2          4          3          4          10         2          9          1          1          3          9          4          1          2          4          
Vardas403                Pavarde403                  4          4          1          6          6          8          2          9          1          10         1          2          9          4          8          
Vardas404                Pavarde404                  8          7          10         7          2          2          5          2          5          1          9          2          9          4          7          
Vardas405                Pavarde405                  5          4          10         2          1          9          10         4          7          3          2          2          2          7          2          
Vardas406                Pavarde406                  5          9          2          4          6          6          5          2          7          6          10         7          7          2          3          
Vardas407                Pavarde407                  10         1          10         10         5          6          2          9          8          1          9          2          4          4          2          
Vardas408                Pavarde408                  2          5          5          10         8          10         10         4          2          1          4          4          1          7          8          
Vardas409                Pavarde409                  6          9          1          5          5          9          7          7          8          2          2          5          5          1          7          
Vardas410                Pavarde410                  8          6          3          4          8          4          8          7          9          8          1          8          2          4          5          
Vardas411                Pavarde411                  1          8          4          2          9          8          9          6          3          5          10         10         5          7          2          
Vardas412                Pavarde412                  1          2          6          3          6          5          8          4          3          7          7          9          10         10         10         
Vardas413                Pavarde413                  4          4          3          7          7          4          4          1          4          10         1          10         8          8          2          
Vardas414                Pavarde414                  3          8          4          5          1          5          4          2          1          6          4          10         5          3          4          
Vardas415                Pavarde415                  4          4          3          9          3          9          2          10         6          4          4          9          3          3          1          
Vardas416                Pavarde416                  1          3          4          5          2          7          10         2          5          1          1          8          2          1          4          
Vardas417                Pavarde417                  4          9          8          7          9          2          2          8          4          2          6          2          2          1          10         
Vardas418                Pavarde418                  4          5          1          5          7          10         9          1          3          7          9          4          9          10         1          
Vardas419                Pavarde419                  1          4          1          5          8          5          4          10         1          7          5          9          8          1          1          
Vardas420                Pavarde420                  8          2          5          6          7          6          2          6          2          3          8          7          10         10         7          
Vardas421                Pavarde421                  5          6          7          10         10         4          5          7          9          3          6          5          5          6          1          
Vardas422                Pavarde422                  8          5          2          10         10         2          2          9          4          3          5          7          7          7          4          
Vardas423                Pavarde423                  2          6          3          4          2          3          8          9          6          2          8          4          5          2          8          
Vardas424                Pavarde424                  8          2          8          1          2          8          2          5          9          6          8          9          3          8          5          
Vardas425                Pavarde425                  8          8          2          6          10         4          2          4          8          6          6          7          8          7          4          
Vardas426                Pavarde426                  1          7          3          6          9          2          7          7          7          1          6          6          8          5          7          
Vardas427                Pavarde427                  3          3          6          5          4          8          9          10         2          2          1          6          3          2          4          
